id,subject,topic,year,stem,r1_text,r1_ans,r1_info,r2_text,r2_ans,r2_info,r3_text,r3_ans,r3_info,r4_text,r4_ans,r4_info,r5_text,r5_ans,r5_info
1,Physiology,CVS,2023,Regarding the cardiac cycle:,Ventricular volume is highest at end-diastole.,T,EDV is the maximum volume.,Isovolumetric contraction occurs before aortic valve opens.,T,Pressure builds without volume change.,First heart sound marks the opening of AV valves.,F,It marks the closing of AV valves.,Aortic pressure is highest during isovolumetric relaxation.,F,Highest during rapid ejection.,T wave represents ventricular depolarization.,F,T wave is ventricular repolarization.
2,Physiology,CVS,2023,Regarding cardiac output:,It equals stroke volume multiplied by heart rate.,T,CO = SV x HR.,Parasympathetic stimulation increases it.,F,Vagal tone decreases HR and CO.,End-systolic volume is directly proportional to stroke volume.,F,Inversely proportional.,Preload is determined by venous return.,T,Frank-Starling law.,Afterload is determined by aortic pressure.,T,Resistance to ventricular ejection.
3,Physiology,Renal,2023,Regarding GFR:,It is approximately 125 ml/min in a healthy adult.,T,Normal GFR is 120-125 ml/min.,Constriction of the efferent arteriole decreases GFR.,F,It increases GFR by increasing hydrostatic pressure.,Inulin clearance is used to measure GFR.,T,Inulin is freely filtered and not reabsorbed/secreted.,It is inversely proportional to Bowman's capsule hydrostatic pressure.,T,Increased capsular pressure opposes filtration.,Sympathetic stimulation increases GFR.,F,It causes vasoconstriction decreasing GFR.
4,Physiology,Renal,2023,Regarding tubular reabsorption:,Glucose is primarily reabsorbed in the loop of Henle.,F,Reabsorbed in the proximal convoluted tubule.,Aldosterone acts on the principal cells of the collecting duct.,T,Increases Na+ reabsorption and K+ secretion.,ADH inserts aquaporins into the descending limb.,F,Inserts into late distal tubule and collecting duct.,Amino acids are co-transported with sodium.,T,Secondary active transport in PCT.,Urea reabsorption contributes to the medullary gradient.,T,Maintains high osmolarity.
5,Physiology,Excitable tissues,2023,During an action potential:,Depolarization is due to sodium influx.,T,Voltage-gated Na+ channels open.,Repolarization is driven by calcium influx.,F,It is driven by potassium efflux.,The absolute refractory period prevents tetanization in cardiac muscle.,T,Ensures relaxation before next contraction.,Hyperpolarization is caused by delayed closing of K+ channels.,T,K+ continues to leave the cell.,Myelination decreases conduction velocity.,F,It increases it via saltatory conduction.
6,Physiology,Excitable tissues,2023,Regarding skeletal muscle contraction:,Calcium binds to tropomyosin to initiate contraction.,F,It binds to troponin C.,ATP binding causes myosin to detach from actin.,T,Breaks the cross-bridge.,The sarcolemma invaginates to form T-tubules.,T,Allows rapid spread of depolarization.,Smooth muscle relies on troponin for contraction.,F,Relies on calmodulin.,Rigor mortis occurs due to a lack of ATP.,T,Myosin cannot detach from actin.
7,Physiology,GIS,2023,Regarding gastric secretions:,Parietal cells secrete HCl and intrinsic factor.,T,Essential for B12 absorption.,Chief cells secrete gastrin.,F,They secrete pepsinogen.,Secretin stimulates gastric acid secretion.,F,It inhibits it and stimulates pancreatic bicarb.,Omeprazole blocks the H+/K+ ATPase pump.,T,It is a proton pump inhibitor.,Histamine decreases HCl secretion.,F,It stimulates it via H2 receptors.
8,Physiology,GIS,2023,Regarding intestinal absorption:,Iron is absorbed primarily in the terminal ileum.,F,Absorbed primarily in the duodenum.,Bile salts are necessary for lipid absorption.,T,Form micelles.,Fructose is absorbed via active transport.,F,Absorbed via facilitated diffusion (GLUT5).,Vitamin B12 requires intrinsic factor for absorption.,T,Absorbed in the terminal ileum.,Short-chain fatty acids are absorbed into the portal vein.,T,Unlike long-chain which go to lymphatics.
9,Physiology,Neuro,2023,Regarding the autonomic nervous system:,Parasympathetic preganglionic neurons are short.,F,They are long; postganglionic are short.,Acetylcholine is the neurotransmitter at all autonomic ganglia.,T,Both sympathetic and parasympathetic.,Sympathetic postganglionic neurons mostly release norepinephrine.,T,Except sweat glands (ACh).,The vagus nerve carries sympathetic fibers.,F,It carries parasympathetic fibers.,Alpha-1 receptors mediate vasoconstriction.,T,Found in vascular smooth muscle.
10,Physiology,Neuro,2023,Regarding the central nervous system:,The cerebellum coordinates voluntary movement.,T,Lesions cause ataxia.,The hypothalamus regulates body temperature.,T,Functions as the body's thermostat.,Wernicke's area is responsible for motor speech.,F,Broca's area is for motor; Wernicke's is for comprehension.,The dorsal columns carry pain and temperature.,F,Spinothalamic tract does; dorsal columns carry fine touch/proprioception.,CSF is produced by the choroid plexus.,T,Circulates in subarachnoid space.
